"","bill_number","bill_link","bill_name","current_status","first_house_progress","second_house_progress","after_passage_progress","description","sponsors","requester","bill_history","democrat_sponsor_count","republican_sponsor_count","total_days_spent","season_years_active","party","general_status","chapter","year"
"1",1000,"https://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2021&Initiative=false","HB 1000","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","No Description","No Sponsors","No Requester","2021 REGULAR SESSION: Start Dec 7 End Jan 19. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",22,9,399,"2021-2022","bipartisan","in committee",NA,NA
"2",1001,"https://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2021&Initiative=false","HB 1001","C 52 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Establishing a law enforcement professional development outreach grant program.","Maycumber, Lovick, Ryu, Boehnke, Leavitt, Lekanoff, Tharinger, Goodman, Young, Graham, Cody, Robertson, Jesse Johnson","No Requester","2021 REGULAR SESSION: Start Dec 7 End Feb 10. IN THE SENATE: Start Feb 12 End Apr 6. IN THE HOUSE: Start Apr 7 End Apr 7. IN THE SENATE: Start Apr 9 End Apr 9. OTHER THAN LEGISLATIVE ACTION: Start Apr 13 End Apr 16.",8,5,130,"2021","bipartisan","passed",52,21
"3",1002,"https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2021&Initiative=false","HB 1002","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief.","Walen, Ryu, Wicks, Leavitt, Boehnke, Shewmake, Ortiz-Self, Lekanoff, Duerr, Orcutt, Corry, Slatter, Wylie, Tharinger, Ramel, Senn, Goodman, Callan, Graham, Ramos, Hackney, Vick, Robertson, Kirby, Paul, Barkis, Riccelli, Springer, Stonier, Fey, Santos, Stokesbary, Rule","No Requester","2021 REGULAR SESSION: Start Dec 7 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",23,8,399,"2021-2022","bipartisan","in committee",NA,NA
"4",1003,"https://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2021&Initiative=false","HB 1003","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Requiring watermarks on mail-in ballots.","Klippert, Young, Graham, Sutherland","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,4,398,"2021-2022","republican","in committee",NA,NA
"5",1004,"https://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2021&Initiative=false","HB 1004","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning legislative oversight of emergency health orders.","Klippert, Eslick, Graham, Kirby, Sutherland, Schmick","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,5,398,"2021-2022","bipartisan","in committee",NA,NA
"6",1005,"https://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2021&Initiative=false","HB 1005","HLabor & Workpl","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the crime of blacklisting.","Klippert, Graham","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,2,398,"2021-2022","republican","in committee",NA,NA
"7",1006,"https://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2021&Initiative=false","HB 1006","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Protecting the right of every Washington resident to decline an immunization or vaccination based on religion or conscience.","Klippert, Eslick, Dent, Caldier, Young, Graham, Rude, Sutherland","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,8,398,"2021-2022","republican","in committee",NA,NA
"8",1007,"https://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2021&Initiative=false","Substitute - SHB 1007","C 21 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the completion of supervised experience through distance supervision.","Klippert, Slatter, Graham, Macri","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 22. IN THE SENATE: Start Jan 26 End Mar 30. IN THE HOUSE: Start Apr 3 End Apr 3. IN THE SENATE: Start Apr 5 End Apr 5. OTHER THAN LEGISLATIVE ACTION: Start Apr 8 End Apr 14.",2,2,127,"2021","bipartisan","passed",21,21
"9",1008,"https://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2021&Initiative=false","HB 1008","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Prohibiting abortion on the basis of Down syndrome.","Klippert, Young, Graham, Barkis","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,4,398,"2021-2022","republican","in committee",NA,NA
"10",1009,"https://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2021&Initiative=false","HB 1009","C 53 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning student health plans.","Thai, Slatter, Wicks, Ortiz-Self, Kloba, Lekanoff, Bateman, Jesse Johnson, Ryu, Senn, Gregerson, Valdez, Cody, Riccelli, Frame, Santos, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Dec 8 End Feb 23. IN THE SENATE: Start Feb 25 End Apr 6. IN THE HOUSE: Start Apr 7 End Apr 7. IN THE SENATE: Start Apr 9 End Apr 9. OTHER THAN LEGISLATIVE ACTION: Start Apr 13 End Apr 16.",17,0,129,"2021","democrat","passed",53,21
"11",1010,"https://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2021&Initiative=false","HB 1010","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Dedicating the state sales tax on motor vehicles for transportation.","MacEwen, Eslick, Dent, Corry, Young, Graham, Vick, Robertson, Barkis","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,9,398,"2021-2022","republican","in committee",NA,NA
"12",1011,"https://app.leg.wa.gov/billsummary?BillNumber=1011&Year=2021&Initiative=false","Substitute - SHB 1011","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning renewal dates for liquor licenses.","MacEwen, Eslick, Wicks, Corry, Young, Graham, Vick, Rude, Stokesbary, Rule","No Requester","2021 REGULAR SESSION: Start Dec 8 End Feb 9. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",2,8,398,"2021-2022","bipartisan","in committee",NA,NA
"13",1012,"https://app.leg.wa.gov/billsummary?BillNumber=1012&Year=2021&Initiative=false","HB 1012","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing a business and occupation tax credit to address the economic impacts of the COVID-19 pandemic on businesses in the state.","MacEwen, Eslick, Dent, Corry, Young, Graham, Vick, Robertson, Barkis, Rude, Jacobsen, Schmick","No Requester","2021 REGULAR SESSION: Start Dec 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,12,398,"2021-2022","republican","in committee",NA,NA
"14",1013,"https://app.leg.wa.gov/billsummary?BillNumber=1013&Year=2021&Initiative=false","HB 1013","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting the duration of emergency rules.","Klippert, Eslick, Graham","No Requester","2021 REGULAR SESSION: Start Dec 9 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,3,397,"2021-2022","republican","in committee",NA,NA
"15",1014,"https://app.leg.wa.gov/billsummary?BillNumber=1014&Year=2021&Initiative=false","HB 1014","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning election of the governor by county.","Klippert, Graham","No Requester","2021 REGULAR SESSION: Start Dec 9 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,2,397,"2021-2022","republican","in committee",NA,NA
"16",1015,"https://app.leg.wa.gov/billsummary?BillNumber=1015&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1015","C 189 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Creating the Washington equitable access to credit act.","Maycumber, Chapman, Tharinger, Graham, Santos, Macri","No Requester","2021 REGULAR SESSION: Start Dec 9 End Mar 9. IN THE SENATE: Start Mar 12 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 21. IN THE SENATE: Start Jan 25 End Mar 4. IN THE HOUSE: Start Mar 8 End Mar 9. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 30.",3,2,476,"2021-2022","bipartisan","passed",189,22
"17",1016,"https://app.leg.wa.gov/billsummary?BillNumber=1016&Year=2021&Initiative=false","Substitute - SHB 1016","C 295 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Making Juneteenth a legal holiday.","Morgan, Lovick, Ryu, Wicks, Ortiz-Self, Berry, Leavitt, Jesse Johnson, Kloba, Shewmake, Simmons, Bateman, Lekanoff, Duerr, Fitzgibbon, Chopp, Slatter, Ramos, Ramel, Peterson, Gregerson, Valdez, Callan, Young, Hackney, Cody, Ormsby, Riccelli, Rude, Stonier, Fey, Frame, Santos, Macri, Taylor, Davis, Pollet, Bergquist, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Dec 10 End Feb 25. IN THE SENATE: Start Mar 1 End Apr 9. IN THE HOUSE: Start Apr 12 End Apr 12. IN THE SENATE: Start Apr 15 End Apr 15. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End May 13.",36,3,154,"2021","bipartisan","passed",295,21
"18",1017,"https://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2021&Initiative=false","HB 1017","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning legislative oversight of emergency orders.","Klippert, Eslick, Graham","No Requester","2021 REGULAR SESSION: Start Dec 10 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,3,396,"2021-2022","republican","in committee",NA,NA
"19",1018,"https://app.leg.wa.gov/billsummary?BillNumber=1018&Year=2021&Initiative=false","HB 1018","HComm & Econ De","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning boater education.","Lovick, Ryu, Ortiz-Self, Goodman, Orwall","No Requester","2021 REGULAR SESSION: Start Dec 10 End Jan 20. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",5,0,396,"2021-2022","democrat","in committee",NA,NA
"20",1019,"https://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2021&Initiative=false","Substitute - SHB 1019","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Allowing residential marijuana agriculture.","Kloba, MacEwen, Ryu, Wicks, Dolan, Fitzgibbon, Peterson, Goodman, Young, Vick, Ormsby, Springer, Stonier, Santos, Macri, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Dec 10 End Feb 9. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",11,4,396,"2021-2022","bipartisan","in committee",NA,NA
"21",1020,"https://app.leg.wa.gov/billsummary?BillNumber=1020&Year=2021&Initiative=false","HB 1020","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the emergency powers of the governor.","Klippert, Walsh, Boehnke, Eslick, Caldier, Young, Graham, Kirby, Barkis, Schmick","No Requester","2021 REGULAR SESSION: Start Dec 10 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,9,396,"2021-2022","bipartisan","in committee",NA,NA
"22",1021,"https://app.leg.wa.gov/billsummary?BillNumber=1021&Year=2021&Initiative=false","HB 1021","HLabor & Workpl","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning relief of benefit charges when discharge is a result of a gubernatorial declaration of emergency or related executive order.","MacEwen, Eslick, Young, Graham","No Requester","2021 REGULAR SESSION: Start Dec 11 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,4,395,"2021-2022","republican","in committee",NA,NA
"23",1022,"https://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2021&Initiative=false","HB 1022","C 149 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Modifying Washington state horse racing commission provisions.","MacEwen, Kloba, Peterson, Kirby, Schmick","Horse Racing Commission","2021 REGULAR SESSION: Start Dec 14 End Feb 26. IN THE SENATE: Start Mar 2 End Apr 6. IN THE HOUSE: Start Apr 12 End Apr 12. IN THE SENATE: Start Apr 19 End Apr 19. IN THE HOUSE: Start Apr 22 End Apr 23. IN THE SENATE: Start Apr 24 End Apr 24. OTHER THAN LEGISLATIVE ACTION: Start Apr 26 End May 3.",3,2,140,"2021","bipartisan","passed",149,21
